name_broker,zipcode_broker,description_broker,score_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months,url
Prismaat Makelaars Zaanstad,1502 AE,"Wilt u een huis kopen of verkopen? Wij staan u bij gedurende het gehele traject. Tja, dat klinkt eenvoudig. En dat is het ook als u met Prismaat Makelaars werkt! Met behulp van onze volledige aan- en/of verkoopbemiddeling zal niets aan het toeval worden overgelaten. Omdat Prismaat Makelaars NVM lid is, bent u zeker van deskundig advies en, minstens zo belangrijk, bent u zeker dat Prismaat Makelaars uitsluitend voor 100% uw belang dient.Prismaat Makelaars kent vier pijlers, waarop de organisatie is gebouwd: bedrijfsmatig onroerend goed, woningmakelaardij, taxaties en vastgoedmanagement. Daarnaast is de initiatie van nieuwbouw een speerpunt van de organisatie.Op zoek naar een woning? Ons team van makelaars staan u bij gedurende het  gehele aankooptraject. Wij maken het u eenvoudig, en leven ons in, in uw  situatie.  Met behulp van onze volledige aankoopbegeleiding zal niets aan het toeval  worden overgelaten. Bij ons bent u verzekerd van een deskundig advies.Binnen de grenzen van de reele mogelijkheden gaan wij op zoek naar uw  ""droomhuis"". In de orientatiefase worden uw wensen en financiele  mogelijkheden nauwkeurig in kaart gebracht en indien nodig, maken wij u  wegwijs in de omgeving. Hierna brengen wij u dagelijks per e-mail, fax of  telefoon op de hoogte van het nieuwe huizenaanbod volgens de door u  opgegeven wensen.Eén van onze aankoopmakelaars Chiel de Groot, David van de Weteringof Elles de Groot wordt uw contactpersoon en zal regelmatig informeren of alles naar  wens verloopt. Uw makelaar begeleidt u natuurlijk ook bij de  bezichtigingen.Omdat wij een regionaal bedrijf zijn, kennen we de huizenmarkt in onze  regio's als geen ander. We zijn bekend met de buurt waarin het huis van uw  voorkeur staat, ja zelfs met de straat. We letten op bestemmingsplannen:  verandert er veel in de buurt of blijft alles bij het oude? Bij de  bezichtiging van de beoogde woning, maken wij een uitgebreide rapportage  van het pand, waarbij o.a. gekeken wordt naar de ligging en eventuele  bouwkundige gebreken en achterstallig onderhoud.Na de bezichtiging worden belangrijke zaken gerechercheerd: is er kans op  bodemverontreiniging?, rusten er juridische belemmeringen op het object?  Mag u het object als woning bewonen? U kunt het maar beter weten!Heeft u uw droomhuis gezien? Dan voeren wij de onderhandelingen en  adviseren wij u over de waarde van de woning. Zo weet uw zeker dat u de  juiste prijs betaalt. Indien de koop is gesloten wordt deze schriftelijk  vastgelegd.Indien er geen aanspraak meer gemaakt kan worden op de ontbindende  voorwaarden, wordt op de afgesproken datum bij de notaris, nadat wij de  woning nogmaals hebben geinspecteerd de eigendomsoverdracht van uw nieuwe  huis een feit.Ook na de oplevering kunt u met vragen bij uw makelaar terecht.",9.1,110,13,59,https://www.funda.nl/en/makelaars/kantoor/zaandam/24479-prismaat-makelaars-zaanstad/
Brantjes Makelaars Wormerland B.V.,1531 HA,"Brantjes Makelaars is niet alleen een begrip in deze regio, maar vooral een zeer betrouwbare partner voor alle zaken die betrekking hebben op onroerend goed.Brantjes Makelaars heeft professionals in huis voor het kopen en verkopen van woningen. Ook voor transacties op de zakelijke markt heeft Brantjes zeer bekwame mensen tot uw beschikking.Al onze medewerkers weten hoe belangrijk en ingrijpend het kopen of verkopen van een woning of bedrijfspand voor u kan zijn. Zij staan u daarom op alle vlakken ter zijde zonder het menselijke aspect uit het oog te verliezen.Waarschijnlijk zijn we daarom ook een begrip geworden...Voor ons bedrijfsaanbod bezoek www.brantjesbedrijfsmakelaars.nl",9.4,29,14,57,https://www.funda.nl/en/makelaars/kantoor/wormer/24835-brantjes-makelaars-wormerland-bv/
Dupree Makelaars o.g. Waddinxveen,2741 HH,"DUPREE MAKELAARS: STERK IN ONROEREND GOED!Op het moment dat u een makelaar kiest heeft u al een belangrijke beslissing genomen. U bent voornemens een woning, bedrijfspand of beleggingspand te kopen of verkopen. Of wellicht denkt u aan huren of verhuren? Ook kan het zijn dat u een taxatierapport nodig heeft?'In al deze gevallen bent u op zoek naar maatwerk, en naar een gedegen, persoonlijk en eerlijk advies. Dat kunnen onze beëdigde en gecertificeerde NVM-makelaars u bieden! Het lidmaatschap van de Nederlandse Vereniging van Makelaars (NVM) en de jaarlijks terugkerende educatie waar onze makelaars verplicht aan worden onderworpen, zijn facetten die zorgen voor een betrouwbaar en vakkundig advies.Onze makelaars hebben een jarenlange ervaring in de makelaardij in het algemeen en kennis van de regionale marktsituatie in het bijzonder. Met 3 vestigingen zijn we zowel thuis in Waddinxveen, Gouda als in Reeuwijk en wijde omgeving.",8.9,75,13,56,https://www.funda.nl/en/makelaars/kantoor/waddinxveen/7114-dupree-makelaars-og-waddinxveen/
van Diest & van Diest,3851 ND,"50 jaar geleden openden de ouders van Henk van Diest de deuren van Van Diest Makelaardij in Ermelo. En al 50 jaar staat de naam Van Diest garant voor betrouwbaar advies en een succesvolle verkoop of aankoop!50 jaar, wat een mijlpaal, we zijn dankbaar dat we dit mogen vieren! Daarom dit jaar een jubileum actieWe komen vrijblijvend bij u langs voor een gratis waardebepaling, en als u de verkoop en/of aankoop van uw woning aan ons toevertrouwt, krijgt u € 500,- korting op onze courtage!Wij zijn Henk & Marjolein van Diest, al 28 jaar getrouwd en samen actief in de makelaardij. Samen zijn wij van Diest & van Diest Regiomakelaars. Met een groot netwerk, en met in al die jaren opgedane grote kennis van de regionale woningmarkt, zijn wij heel succesvol in de verkoop en aankoop van woningen. Wij staan bekend om onze persoonlijke aanpak, de korte lijnen, onze fraaie woningpresentaties en de enthousiaste bezichtigingen.Dus heeft u verkoopplannen? Bel 0341- 49 50 77 voor een gratis waardebepaling of vrijblijvend kennismakingsgesprek met Henk en Marjolein van Diest!",8.9,76,7,61,https://www.funda.nl/en/makelaars/kantoor/ermelo/23112-van-diest-en-van-diest/
Schouten Makelaars 't Gooi,1404 CE,"Schouten Makelaars is sinds 1927 een begrip in het Gooi. Ons kantoor in Bussum is gevestigd in het hart van de regio. Wij kennen de lokale markt en de mensen persoonlijk. Schouten Makelaars werkt gericht en nuchter. Ons team is er voor u. Of het nu gaat om het vinden van uw droomhuis of een geschikte koper, wij gaan gedreven en vol enthousiasme voor u op zoek. En daarin ligt precies onze uitdaging: het maken van de perfecte ‘match’, op basis van uw wensen en de (financiële) mogelijkheden. Bij Schouten Makelaars is uw complete verkoop of aankoop in goede handen. Het is echter goed mogelijk, dat u behoefte heeft aan ondersteuning voor een gedeelte van het traject. Of u wilt specifieke prestatiegerelateerde afspraken met ons maken. Wij doen u in dergelijke gevallen graag een aanbod op maat met aantrekkelijke tarieven. Bijna negentig jaar adviseert en begeleidt Schouten Makelaars vele relaties naar tevredenheid. Wij bieden u als NVM-makelaar een objectief en deskundig oordeel en staan u graag bij. Zodat u uw keuzes weloverwogen kunt maken. Het succesvol verkopen van uw woning valt of staat met de presentatie, zeker in de huidige huizenmarkt. Maar hoe zorgt u ervoor dat uw huis eruit springt tussen het enorme aanbod op internet? Wat kunt u doen om de juiste indruk te geven, van interieurfoto’s tot bezichtiging? De oplossing is eenvoudig, maar uiterst doeltreffend: Verkoopstyling.De verkoopstyliste van Schouten Makelaars weet precies wat ervoor nodig is om uw woning voor een zo breed mogelijk publiek aantrekkelijk te maken. Met een commerciële blik helpt zij u de mogelijkheden te benadrukken en de nodige sfeeraccenten te leggen. Zo vergroot Verkoopstyling uw kans op een snelle verkoop en een goede prijs. Dat wilt u toch ook?Meer weten?Heeft u vragen of wilt u meer informatie, neem dan contact met ons op. Wij zijn er voor u!",9.2,89,12,57,https://www.funda.nl/en/makelaars/kantoor/bussum/6117-schouten-makelaars-t-gooi/
Jongbloed Makelaars,2514 HH,"Jongbloed Makelaars is gevestigd aan de Mauritskade 75 in Den Haag waar warmte, vertrouwen en het 'thuis'-gevoel de werkbases zijn om wensen en dromen te realiseren. Vanuit deze beleving ontstaat een prettige en informele werksfeer. Een zakelijke en betrouwbare samenwerking tussen makelaar en cliënt vormt de juiste basis tot succes. Persoonlijke begeleiding staat bij Jongbloed Makelaars voorop. ",9.7,42,21,58,https://www.funda.nl/en/makelaars/kantoor/den-haag/8693-jongbloed-makelaars/
Lankhuijzen Makelaars,3031 EP,"Sinds 1935 bemiddelt Makelaardij Lankhuijzen bij de aankoop, verkoop en taxatie van onroerend goed in Rotterdam en omstreken. Gedurende het gehele proces van verkoop of aankoop worden cliënten deskundig bijgestaan en van het juiste advies voorzien. De meest recente markt- en prijsontwikkelingen worden op de voet gevolgd. Taxaties worden nauwgezet en zorgvuldig uitgevoerd. Dit alles op basis van ruime ervaring.",9.2,170,18,55,https://www.funda.nl/en/makelaars/kantoor/rotterdam/15134-lankhuijzen-makelaars/
Gierkink Makelaars,7131 CD,"Gierkink Makelaars staat voor een persoonlijke benadering, een professionele aanpak en jarenlange ervaring.Onze klantbeoordelingen bevestigen dit. Daar zijn we natuurlijk trots op!Wilt u dit ervaren? Neem dan contact op voor een vrijblijvend gesprek of kijk eens op onze vernieuwde website www.gierkink.nl   ",8.9,122,14,60,https://www.funda.nl/en/makelaars/kantoor/lichtenvoorde/3126-gierkink-makelaars/
Fundament Makelaars,3833 LD,"Of je nu op huizenjacht bent of juist je woning wilt verkopen – in een regio met zoveel gezichten is het handig om de hulp in te schakelen van een makelaar die de omgeving écht kent. Reinier, Mark en Rivka zijn allemaal geboren, getogen én woonachtig in Amersfoort, Soest en Leusden. Ze hebben samen meer dan 30 jaar ervaring opgedaan bij verschillende makelaarskantoren en stellen die kennis graag ter beschikking aan woningzoekers en huizenverkopers.Bel ons voor een kop koffie als je vragen hebt! ",9.3,95,10,64,https://www.funda.nl/en/makelaars/kantoor/leusden/184-fundament-makelaars/
Smit & Douma Makelaars Roden,9301 KS,"Nuchter en no nonsense! Dat is Smit & Douma Makelaars. Met jarenlange ervaring in de makelaardij en met stevige roots in het Noorden. Smit & Douma Makelaars helpt je aan een zorgeloze, volgende stap in jouw wooncarrière.Bij Joan Smit en Rudy Douma kun je terecht voor de verkoop of aankoop van een huis. Ben je op zoek? Vertel ons dan hoe jouw droomhuis eruitziet: wij helpen je graag bij het vinden van die ene speciale woning. Wij kennen de woningmarkt van Roden, Leek, Tolbert, Peize, Norg en de stad Groningen als onze broekzak. En met vestigingen in Roden en Leek is Smit & Douma Makelaars altijd dichtbij.Bel gerust of kom eens langs: elke werkdag staat Smit & Douma Makelaars voor je klaar. Liever ’s avonds of in het weekend afspreken? Er valt altijd wel een mouw aan te passen.  ",9.3,82,13,53,https://www.funda.nl/en/makelaars/kantoor/roden/4112-smit-en-douma-makelaars-roden/
Wind Makelaars,1191 AV,"Wind Makelaars is al meer dan 50 jaar gevestigd in Ouderkerk aan de Amstel en opereert in de regio groot Amsterdam. Door de jaren heen hebben wij een groot, betrouwbaar netwerk opgebouwd en werken met een aantal andere kantoren samen om uw woning nog beter onder de aandacht te brengen. Zo kunnen wij u een service bieden die verder gaat dan onze gemeentegrenzen!Wanneer u overweegt een woning te kopen, uw eigen huis te verkopen of heeft u een taxatie van uw woning nodig? U bent altijd verzekerd van de deskundigheid en uitgebreide expertise van onze makelaars.",9.1,83,17,61,https://www.funda.nl/en/makelaars/kantoor/ouderkerk-aan-de-amstel/24374-wind-makelaars/
Van Heteren & Actief Makelaars,6831 EA,"Van Heteren & Actief Makelaars is een gerenommeerd NVM makelaarskantoor dat u, inmiddels ruim 40 jaar met oog voor detail en liefde voor het vak, begeleidt in de verkoop en aankoop van uw woning.Wij zijn gevestigd in het altijd bruisende en levendige Arnhem en wij kennen de stad en haar omstreken als geen ander! Zoekt u een makelaar waarbij u alles kunt regelen? Uw hypotheek, opstalverzekering, de verkoop van uw woning of advies bij het aankopen van uw nieuwe woning? Dan bent u bij ons aan het juiste adres.Wij nemen graag de tijd om persoonlijk met u uw wensen en mogelijkheden te bespreken. Kom gerust eens bij ons binnen voor advies en een heerlijk kopje koffie!",9.2,43,7,61,https://www.funda.nl/en/makelaars/kantoor/arnhem/2098-van-heteren-en-actief-makelaars/
Olsthoorn Makelaars Westland B.V.,2671 JD,"Op zoek naar een betrouwbaar makelaarskantoor dat u volledig kan ontzorgen? Gespecialiseerd in zowel nieuwbouw als bestaande bouw en met eigen taxateurs in huis? Of op zoek naar een nieuw (t)huis en hulp van een aankoopmakelaar nodig?Olsthoorn Makelaars is met haar drie vestigingen een full-service makelaarskantoor. Een specialist in de verkoop en aankoop van woningen, zowel nieuwbouw als bestaande bouw.  Wij adviseren u graag op welk moment en met welke verkoopstrategie u uw woning te koop kunt zetten.Gert-Jan en zussen Esther en Judith werken met veel enthousiasme samen. Dankzij klanten, opdrachtgevers en medewerkers zijn wij uitgegroeid tot een gerenommeerd kantoor. Het makelaarskantoor dat in het Wateringse Veld begon is inmiddels uitgebreid met een vestiging in de Haagse Vruchtenbuurt en in het centrum van Naaldwijk.Omdat we in de afgelopen jaren steeds actiever zijn geworden in het Westland, is het openen van onze vestiging in het centrum van Naaldwijk een logische keuze. Zo kunnen wij onze opdrachtgevers in het Westland nog dichter bij huis van dienst zijn.In onze relatie met u streven wij naar transparantie en eerlijkheid. Met Olsthoorn Makelaars neemt u bovendien een NVM-makelaar in de arm, iets wat u als (ver)koper extra voordelen oplevert. Samen met u bepalen wij de stappen die wij nemen.Bent u nieuwsgierig naar ons kantoor en wilt u meer informatie? Loop gerust eens binnen in één van onze vestigingen en ervaar het thuisgevoel!",8.7,30,12,58,https://www.funda.nl/en/makelaars/kantoor/naaldwijk/8701-olsthoorn-makelaars-westland-bv/
Hofstede & Kamp Makelaars Hengelo,7556 BG,"Onze kantoren ­zijn gevestigd aan de Bornsestraat 28 in Hengelo en aan de Langestraat 15 in Delden.  Wij zijn graag bereid u met alle vragen te helpen om tot een juiste keuze, afweging of beslissing te komen.  Een grotere organisatie betekent een groter bereik voor uw­ huis en een groter bereik om voor u ­een passend huis te vinden. Tegelijkertijd blijft uw­ contact bij ons ­snel en persoonlijk, dankzij de kleine kantoren in Hengelo en Delden.  Als u slim bent, laat u zich adviseren door een ervaren makelaar die niet alleen ­ heeft ­van de ,­ maar die zich daarnaast ­.­  Wij bieden een breed dienstenpakket, variërend van het geven van advies tot het volledig ontzorgen van u als klant.Bij Hofstede & Kamp Makelaars bent u aan het juiste adres. Kijk voor meer informatie op onze website www.hofstedekamp.nl of neem contact op met ons kantoor.",9.1,189,7,61,https://www.funda.nl/en/makelaars/kantoor/hengelo-ov/16163-hofstede-en-kamp-makelaars-hengelo/
KOLMEIJER MAKELAARS & TAXATEURS,6581 BH,"Wij vallen op door een energieke en persoonlijke aanpak. Persoonlijk, want we luisteren goed naar wat u als klant zoekt wanneer u een huis of appartement wilt kopen of verkopen. Samen met u kunnen we hierdoor direct inspelen op de kansen en mogelijkheden die er ook voor u zijn. Tijdens en vaak ook buiten kantoortijden. Dit om de drempel voor een kijker zo laag mogelijk te maken en er uiteindelijk voor te zorgen dat uw woning verkocht wordt en niet die van de concurrent.  En dat wordt gewaardeerd. Onze klanten beoordelen ons gemiddeld op een 9! Daarmee is Komeijer Malden  een van de best beoordeelde kantoren uit de regio Nijmegen!    Onze dienstverlening is helder en concurrerend. Vooraf wordt duidelijk met u afgesproken welke courtage wordt gehanteerd en wat u daarvoor mag verwachten. En doordat u ons alleen betaald als uw huis ook daadwerkelijk verkocht is, komt u niet voor onaangename verrassingen te staan. Kolmeijer Makelaars is al sinds 1975 actief in de regio Nijmegen. Inmiddels is Kolmeijer Makelaars  een toonaangevende naam met kennis en voelsprieten in alle geledingen van de woningmarkt. Cruciaal, om u goed van dienst te kunnen zijn bij aankoop of verkoop van een woning. Samen met u overleggen we wat de beste strategie is om uw woning bij de juiste doelgroep aan te bieden of om uw droomhuis aan te kopen.Taxaties en waarderingen in de regio Nijmegen worden door ons snel, vakkundig en tegen een concurrerend tarief uitgevoerd. Geaccepteerd door NWWI en NHG, alle geldverstrekkers en conform eventuele eisen van de belastingdienst.Tot slot hebben wij genoeg juridische kennis in huis om u te adviseren bij WOZ-taxaties, onteigeningsprocedures, bestemmingsplan-wijzigingen en onroerend-goed beleggingen.Wij hopen u spoedig te ontmoeten.   E      ",9.3,105,10,62,https://www.funda.nl/en/makelaars/kantoor/malden/13045-kolmeijer-makelaars-en-taxateurs/
Nieuwe Buren makelaars,6662 WC,"""Geef mij een baan die bij mij past en ik hoef nooit meer te werken"" (Confucius) Dat geldt voor ons beiden, makelaars Suzanne van den Bremer en Nella van Ast.Als je het leuk vindt mensen te begeleiden bij een van de belangrijkste stappen in het leven, hoef je inderdaad niet meer te werken. Maar aan ""leuk werk"" gaat wel wat vooraf. Een gedegen opleiding bijvoorbeeld. Dit, gecombineerd met kennis van de regio Elst èn een gezonde portie werk- en levenservaring maakt Nieuwe Buren een fijne gesprekspartner.Of je nu je huis wilt verkopen, op zoek bent naar een andere woonomgeving rondom Elst òf een taxatierapport nodig hebt, voor al deze diensten kun je bij ons terecht.",9.3,95,9,65,https://www.funda.nl/en/makelaars/kantoor/elst-ge/2278-nieuwe-buren-makelaars/
De Drie Kastelen Makelaardij,2712 AM,"De Drie Kastelen NVM Makelaardij is een full-service NVM makelaars-, hypotheek- en verzekeringskantoor gevestigd aan de Dorpsstraat 56 in Zoetermeer. De Drie Kastelen helpt u bij de aan- of verkoop van uw woning en is eveneens uw tussenpersoon voor uw hypotheek en/of verzekeringen. Wij staan bekend om onze veelzijdigheid en persoonlijke aanpak en zijn uw aanspreekpunt voor al uw vastgoed en financiële vragen.De Drie Kastelen is sinds 2010 in Zoetermeer voortgezet door Paul en Eric Heidenreich. Twee broers die met ruime ervaring in de branche in de omgeving van Zoetermeer, Den Haag, Vlaardingen en Schiedam de stap hebben genomen de zaak van hun vader voort te zetten. Zo is ruim veertig jaar ervaring in goede handen gekomen!Met de komst van Marc Elferink per juni 2015 maakt De Drie Kastelen naast de verdeling over de drie vakgebieden makelaardij, hypotheken en verzekeringen zijn naam ook nog eens waar doordat er drie eigenaren van De Drie Kastelen Makelaardij zijn. Naast de ervaring van de gebroeders Heidenreich is sinds juni 2015 ook de ruim 20 jaar lange ervaring en expertise van makelaar en taxateur Marc Elferink het bedrijf komen versterken.Met onze veelzijdigheid kunnen wij u helpen en adviseren op een breed terrein: makelaardij, VVE beheer, hypotheken, verzekeringen, vastgoedconsultancy en taxaties. Makkelijk en alles vertrouwd in handen van één kantoor.Wij zijn in het bezit van de vergunningen van de Autoriteit Financiële Markten (AFM). Aangesloten bij NVM, TMI (Bedrijfsmatig Vastgoed taxaties), NWWI en TaxateursUnie (woningtaxaties), NRVT en VastgoedCert.U bent van harte welkom om contact met ons op te nemen met vragen over onze dienstverlening. Of loop eens binnen aan de Dorpsstraat 56 in Zoetermeer. Om u goed van dienst te zijn werken wij ’s avonds en in het weekend ook, maar dan op afspraak.",9.5,80,11,60,https://www.funda.nl/en/makelaars/kantoor/zoetermeer/8676-de-drie-kastelen-makelaardij/
TWM Makelaardij,1032 LL,"TWM Makelaardij is er voor u. Full- service en persoonlijk.Bij ons geldt:* Courtage vanaf 0.95% inclusief volledige begeleiding en presentatie* Géén opstartkosten* Tarieven inclusief btw* Achteraf betalen via de afrekening van de notarisWij (ver)kopen woningen met veel plezier, aandacht voor de details, volledig in uw belang en met een gezonde dosis enthousiasme.Ons team van enthousiaste en ervaren makelaars adviseert u graag over aankoop, verkoop, verhuur en taxatie van woningen. Ons werkgebied is het beste te omschrijven als groot Amsterdam maar strekt zich uit van Purmerend tot en met Amstelveen met als middelpunt ons kantoor in Amsterdam.Of het nu gaat om een studioappartement of een vrijstaande villa, wij begeleiden voor u het gehele traject van begin tot eind én tegen een eerlijke prijs.Door de kleinschaligheid van ons kantoor verloopt de communicatie via korte lijnen en altijd zijn alle collega's volledig op de hoogte van alle bijzonderheden van uw dossier. Wij geloven in een persoonlijke benadering en intensieve begeleiding van één van de grootste beslissingen in uw leven. Wij maken graag deel uit van deze bijzondere gebeurtenis en regelen alles voor u tot in de puntjes.Wij komen graag bij u op bezoek maar uiteraard bent u ook van harte welkom op ons kantoor in Amsterdam. ",9.5,50,11,60,https://www.funda.nl/en/makelaars/kantoor/amsterdam/24813-twm-makelaardij/
Bart Hut Makelaardij,6026 CR,"Úw NVM­ makelaar voor de verkoop of verhuur van uw woning, begeleiding bij de aankoop van een woning,­ een taxatie (NWWI) of gewoon een advies over wonen! Bent u benieuwd of er een 'klik' is en wat Bart Hut Makelaardij voor u kan betekenen?  Neem dan vrijblijvend contact op voor een kosteloos, oriënterend gesprek op 06-5775 07 07­ of stuur een e-mail naar info@barthutmakelaardij.nl  ",9.3,185,15,61,https://www.funda.nl/en/makelaars/kantoor/maarheeze/14321-bart-hut-makelaardij/
Hoekschoeman makelaars,3811 NN,"Hoekschoeman makelaars is dé specialist in bestaande woningen, van oudere huizen tot recente bouw, in Amersfoort en Zeewolde. U kunt bij ons terecht voor advies bij de aankoop van een nieuw huis en natuurlijk voor deskundige begeleiding bij de verkoop van uw huidige woning.Hoekschoeman makelaars kiest voor kleinschaligheid, zodat we precies weten wie onze klanten zijn. Makelaars Fulco Hoekerswever en Olga Zonneveld komen graag bij u langs in Amersfoort, en in Zeewolde is makelaar Peter Doornbos actief. Dankzij medewerkers binnendienst Rebecca en Evelien is Hoekschoeman makelaars altijd goed bereikbaar.Natuurlijk bent u ook van harte welkom op ons centraal gelegen kantoor aan de Arnhemseweg in Amersfoort. Graag tot ziens!",9.0,94,11,63,https://www.funda.nl/en/makelaars/kantoor/amersfoort/72-hoekschoeman-makelaars/
Makelaarsgroep o.g. Commissaris,1076 AV,"Sinds 1994 is ons kantoor gevestigd aan de  Paul Commissaris en zijn team zijn u graag van dienst bij alle adviezen op het gebied van onroerend goed in Groot Amsterdam, Amstelveen, Ouderkerk aan de Amstel, Abcoude, Aalsmeer, Badhoevedorp en omgeving Vinkeveen.  * aan- en verkoop van particulier onroerend goed  * de taxatie of waardebepaling van particulier onroerend goed  * de taxatie, waardebepaling of verhuur van bedrijfsmatig onroerend goed * het doorverwijzen naar een (onafhankelijk) hypotheek-adviseurBelt u ons en wij beantwoorden graag al uw onroerend goed vragen en/of zijn u behulpzaam met een vrijblijvend advies! Natuurlijk kunt u ook terecht op onze website, of loopt u eens binnen bij ons kantoor. Paul Commissaris (beedigd en gecertificeerd makelaar en taxateur o.g.), Jacqueline Commissaris, Richard Bosma (geregistreerd en gecertificeerd makelaar en taxateur o.g.), Monique Otting en Jonathan Oost.  ",9.4,62,27,58,https://www.funda.nl/en/makelaars/kantoor/amsterdam/24520-makelaarsgroep-og-commissaris/
HOLLAND WEST,2405 AP,"  Als deskundig NVM-makelaar onroerend goed en als NVM-makelaar bedrijfsonroerend goed biedt Holland West een aantal extra diensten aan. Wij noemen: een uitgekiend verkoop, aankoop en of verhuurplan met goede voorwaarden en heldere afspraken, plaatsing op internet het opstellen van advertenties en het verzorgen van verkoopbrochures. Indien gewenst kunnen wij u een gedegen taxatierapport van uw woning of bedrijfsruimte leveren.Onze uitstekende adviezen én professionele begeleiding, vanaf de eerste verkoopdag tot en met de oplevering en transportakte bij de notaris, zullen zeker tot het door u gewenste resultaat leiden.  Holland West oefent bovendien geen tijdsdruk uit op klanten bij transacties wat voor de betrokken partijen leidt tot een weloverwogen beslissing om tot aan- of verkoop over te gaan.  Bij het vaststellen van verkoopprijzen acteert Holland West, in goed onderling overleg met de klant, op basis van realisme.Kortom, met Holland West als makelaar is het huis van uw dromen binnen handbereik",9.2,74,11,90,https://www.funda.nl/en/makelaars/kantoor/alphen-aan-den-rijn/25110-holland-west/
Hoen Makelaars,1075 HH,"Wie in zee gaat met Hoen Makelaars, kiest voor een van de oudste makelaarskantoren in Amsterdam (sinds 1929), waar de waarden van oprichter C. Hoen onverminderd van kracht zijn. Hier werkt een gepassioneerd team, dat altijd exact weet wat er zich afspeelt op de Amsterdamse huizenmarkt. Een team dat met kennis van zaken en een persoonlijke aanpak voor jou de markt verkent. Een team dat voorop gaat in elke zoektocht, altijd gedreven om het beste resultaat te behalen. En dat door een brede naamsbekendheid en een groot netwerk kan rekenen op de loyaliteit van andere makelaarskantoren. Kortom, een partner waar je écht iets aan hebt bij een van de grootste en belangrijkste transacties in je leven...  Vaders en moeders, zonen en dochters, en inmiddels ook kleinkinderen lieten zich al door Hoen Makelaars begeleiden. Altijd tevreden over de uitstekende resultaten.Hoen Makelaars is aangesloten bij de NVM (Nederlandse Vereniging van Makelaars). Dat waarborgt de educatie, kwaliteit en gedegen vakkennis van onze makelaars en wij beschikken daardoor over een geautomatiseerd netwerk en uitwisselingssysteem waarin het aanbod van alle aangesloten leden van de NVM is opgenomen. Daarnaast is ons kantoor aangesloten bij de MVA (Makelaarsvereniging Amsterdam) waardoor wij ook goed op de hoogte zijn en blijven van de lokale ontwikkelingen en regelgeving. In Amsterdam is de huizenmarkt tegenwoordig hectisch. Panden staan maar kort te koop en vraagprijzen worden veelal overboden. Dat vraagt om een makelaar die het hoofd koel houdt. Iemand die zich niet laat leiden door emoties en altijd een eerlijk en deskundig advies kan geven. Dat vraagt om iemand van Hoen Makelaars. Na een vrijblijvend kennismakingsgesprek gaan we samen met u op zoek.   Een woning te koop zetten, dat kan natuurlijk iedereen. Maar een huis goed verkopen, dat vraagt om specifieke kennis en ervaring. Bij Hoen Makelaars zit je wat dat betreft goed. Wij kunnen overal in Groot Amsterdam een volledig verkooptraject begeleiden, waarbij wij altijd gaan voor het beste resultaat. Soms kost dat wat meer tijd, maar daar hebben we het niet over bij Hoen Makelaars....  Ga je ergens anders wonen, maar wil je je huis niet (meteen) verkopen, dan kun je overwegen deze (tijdelijk) te verhuren. Ook is verhuur interessant als je een huis koopt als beleggingsobject. Zeker in Amsterdam – waar de vraag naar (huur)woningen groot is - kan je vermogen tegenwoordig met aantrekkelijk rendement groeien.Verhuur vereist echter wel een goede voorbereiding. Denk bijvoorbeeld aan de huurwetgeving en het opstellen van een waterdicht huurcontract. Maar ook de juiste huurvorm en -prijs zijn belangrijke aspecten om meteen goed in kaart te hebben. Gelukkig zijn de mensen van Hoen Makelaars goed op de hoogte van de huidige regelgeving rondom verhuur en kunnen zij jou waar nodig bijstaan. Met een flink groeiende internationale markt, komen er steeds meer expats werken in Amsterdam. Maar waar vroeger bedrijven de woonruimte regelden voor hun personeel, moeten zij nu vaak zelf onderdak regelen. In die gevallen nemen wij van Hoen ook graag de zorgen uit handen. Hoe we dat doen? We maken ze wegwijs op de huizenmarkt, maar vertellen ze ook over de Nederlandse wetgeving en andere relevante regels waar ze mee te maken krijgen. We zoeken voor ze, ook als de expats zelf nog in het buitenland zitten. We kunnen zelfs in opdracht koopaktes tekenen. Het voortraject kan desgewenst volledig door ons worden verzorgd, zodat de koper zelf op het moment suprême enkel nog hoeft te verhuizen.",9.2,110,33,110,https://www.funda.nl/en/makelaars/kantoor/amsterdam/24162-hoen-makelaars/
Van den Hurk Makelaars,5741 JJ,Van den Hurk Makelaars kent de huizenmarkt in  als de beste! En niet onbelangrijk: de huizenmarkt kent ons. Hierdoor kunnen we vraag en aanbod snel bij elkaar brengen en kunnen wij inspelen op de wensen van onze klanten.Wij hebben een passie voor het begeleiden en ontzorgen bij de verkoop van uw huis én ondersteunen u bij de zoektocht naar uw droomhuis. U kunt ook bij ons terecht voor een NWWI taxatierapport.,9.2,103,7,63,https://www.funda.nl/en/makelaars/kantoor/beek-en-donk/14288-van-den-hurk-makelaars/
Van Wattum,9502 WT,"Zorgen over de verkoop van uw woning?  Bang dat u teveel betaalt voor de woning van uw dromen?  Niet nodig! Van Wattum Makelaardij is een professioneel NVM makelaarskantoor  en staat voor:  Denkt u erover uw huis te verkopen of de woning van uw dromen te kopen. Ik kom graag met u in contact om uw situatie te bespreken. Persoonlijk advies, geheel vrijblijvend!",9.2,125,9,63,https://www.funda.nl/en/makelaars/kantoor/stadskanaal/9266-van-wattum/
